Professor: "–the network. Why are you doing that? [PAUSE] ...Siri, call Elisa– "	the network why are you doing that Siri call Elisa 	7	PROFESSOR
[CAR RUNNING] Elisa: "There's some bug he's discovered. Not sure how long this'll take."  Hank: "Sucks to be summoned to the network lab on–"	there is there's some bug he discovered not sure how long this will this'll take sucks to be summoned to the network lab on	7	ELISA, HANK
[VOICE ECHOING INSIDE] Elisa: "I'm here! And I have an idea about the network stuff. [PAUSE] Where are you hiding out this time?"	I am I'm here and I have an idea about the network stuff where are you hiding out this time	7	ELISA
Professor: "- you know what I mean? Pass me the ashtray, will you?" Elisa: "Weird network stuff. What else is new."	pass me the ashtray will you and look at this weird network stuff what else is new	7	PROFESSOR, ELISA
Professor: "Here's the stat readout. There was a network surge earlier, and some protocol activation –"	Here's here is the stat readout there was a network surge earlier and some protocol activation	7	PROFESSOR
Professor: "I'm logging in as admin." Elisa: "Sure." [KEYBOARD CLICK-CLACK] Professor: "Until we know what's happening with the surge and protocol activation I'm going to shut it down."	I'm I am logging in as admin sure until we know what's what is happening with the surge and protocol activation I'm I am going to shut it down	7	PROFESSOR, ELISA
[CAR RUNNING, MUSIC IN THE BACKGROUND] Uber driver: “You're... Charlie?" Charlie: "Yeah. You're going out to the docks, right? With a stop-off on the way?"	You're you are Charlie yeah you're you are going out to the docks right with a stop off stop-off on the way	8	CHARLIE
[FOOTSTEPS, JACKET ZIPPING] Eve: “Wallet and keys?” Daniel: “Yes.” Eve: “Did you take out the trash?” Daniel: “Yes, Eve, I’ve taken–”	Wallet and keys yes did you take out the trash yes Eve I have I've taken	8	EVE, DANIEL
[HEELS CLACKING. CAR DOOR OPENS.] Charlie: "Hey, Alexis! You're dressed up." Alexis: "Thanks! I just wish it weren't so freezing –"	Hey Alexis you're you are dressed up thanks I just wish it weren't were so freezing	8	CHARLIE, ALEXIS
[CAR RUNNING] Ray: “-and Charlie is on her way too. Any word from Elisa?” Hank: “The professor called her into the lab. He said it was some kind of emergency?” Ray: "That man never sleeps."	And Charlie is on her way too any word from Elisa the professor called her into the lab he said it was some kind of emergency that man never sleeps	8	RAY, HANK
[CAR RUNNING, MUSIC IN THE BACKGROUND] Alexis: “Ugh...” [RUFFLING THROUGH BAG] Alexis: “Charlie, do you have mascara?” Charlie: “Mascara? Not on me. You should ask around at the party.”	Ugh Charlie do you have mascara not on me you should ask around at the party	8	ALEXIS, CHARLIE
[CAR RUNNING] Ray: "--he's weirdly into history." Hank: "Says the graduate student in--" Ray: "No, I mean... take his password. It's a history joke. They--"	He's he is weirdly into history says the graduate student in no I mean take his password it's a history joke they	8	RAY, HANK
[CAR HALTS, MUSIC STOPS] Charlie: “Thanks, have a good night!” [DOORS OPEN] Uber Driver: “Yeah, you too! Have fun at the party.” Alexis: "Good night!" [DOORS CLOSE]	Thanks have a good night yeah you too have fun at the party good night	8	CHARLIE, ALEXIS
[CAR STOPS] Ray: “Mallory Docks.” Hank: “Neat place for a party.” Ray: "As usual, I have outdone myself. You may hold your applause."	Mallory docks neat place for a party as usual I have outdone myself you may hold your applause	8	RAY, HANK
[MUSIC PLAYING] Charlie: “How's it going, Ray? Glad you could make it.” Ray: “Haven't died in traffic yet. Do you have the stuff for the drinks?”	How's how is it going ray glad you could make it haven't have not died in traffic yet do you have the stuff for the drinks	8	CHARLIE, RAY
[MUSIC PLAYING] Charlie: "--were bringing cocktail mix. What happened to showing everyone what real drinks taste like?" Ray: "I was just–"	Were bringing cocktail mix what happened to showing everyone what real drinks taste like I was just 	8	CHARLIE, RAY
